{'pImmuneKill': 0.8, 'pCancerMult': 0.4, 'pCancerSpawn': 0.1}
4 runs over 1000 iterations

AverageImmune, VarianceImmune, StdDefImmune, AverageBacteria, VarianceBacteria, StdDefBacteria
0.005975,6.249999999999925e-10,2.499999999999985e-05,0.0,0.0,0.0
0.0059625,7.812500000000068e-10,2.7950849718747494e-05,6.25e-06,1.1718750000000002e-10,1.0825317547305483e-05
0.0059625,7.812500000000068e-10,2.7950849718747494e-05,1.8750000000000002e-05,1.1718750000000002e-10,1.0825317547305483e-05
0.005956250000000001,7.421875000000045e-10,2.7243118397129293e-05,2.5e-05,3.125e-10,1.767766952966369e-05
0.00595,3.1250000000000704e-10,1.767766952966389e-05,3.125e-05,4.296875e-10,2.072890493972125e-05
0.00595,3.1250000000000704e-10,1.767766952966389e-05,4.375e-05,7.421874999999999e-10,2.7243118397129208e-05
0.00595,3.1250000000000704e-10,1.767766952966389e-05,6.25e-05,2.0312499999999996e-09,4.506939094329986e-05
0.00595,3.1250000000000704e-10,1.767766952966389e-05,7.500000000000001e-05,3.124999999999999e-09,5.590169943749473e-05
0.00594375,1.171875000000067e-10,1.0825317547305793e-05,0.00011875,9.804687500000002e-09,9.901862198596788e-05
0.00594375,1.171875000000067e-10,1.0825317547305793e-05,0.00015625,1.76171875e-08,0.00013272975363497064
0.00593125,4.2968750000001114e-10,2.0728904939721518e-05,0.00020625,2.9492187500000002e-08,0.0001717328958004261
0.00593125,4.2968750000001114e-10,2.0728904939721518e-05,0.00031875,7.324218750000001e-08,0.0002706329386826371
0.00593125,4.2968750000001114e-10,2.0728904939721518e-05,0.00046875,1.463671875e-07,0.00038257964857007224
0.0059187499999999995,1.1718749999999857e-10,1.0825317547305417e-05,0.00060625,2.1136718749999998e-07,0.00045974687329007467
0.0059187499999999995,1.1718749999999857e-10,1.0825317547305417e-05,0.000775,2.946875e-07,0.0005428512687652116
0.0059187499999999995,1.1718749999999857e-10,1.0825317547305417e-05,0.000975,3.903125e-07,0.00062474994997999
0.0059187499999999995,1.1718749999999857e-10,1.0825317547305417e-05,0.0012625,5.576562500000001e-07,0.0007467638515621924
0.0059125,7.812500000000068e-10,2.7950849718747494e-05,0.0015125,7.129687499999999e-07,0.0008443747686898277
0.0059125,7.812500000000068e-10,2.7950849718747494e-05,0.00184375,9.560546875e-07,0.000977780490447626
0.005925,9.375000000000103e-10,3.061862178478989e-05,0.00224375,1.3001171874999998e-06,0.0011402268140593781
0.005925,9.375000000000103e-10,3.061862178478989e-05,0.002725,1.7028125e-06,0.0013049185798355391
0.00593125,7.421875000000101e-10,2.7243118397129394e-05,0.0032625,1.95578125e-06,0.0013984924919355126
0.00595,9.375000000000105e-10,3.06186217847899e-05,0.00385,2.6271875e-06,0.001620860111175545
0.00595625,7.421875000000046e-10,2.7243118397129293e-05,0.0045125,3.3820312499999996e-06,0.0018390299752858842
0.0059812500000000005,1.6796874999999798e-09,4.098399077688726e-05,0.00529375,4.0679296875000004e-06,0.0020169109270118998
0.006,1.8749999999999775e-09,4.3301270189221675e-05,0.006118749999999999,5.361054687499999e-06,0.0023153951471617104
0.00605,5.937499999999983e-09,7.70551750371121e-05,0.00700625,6.5066796875e-06,0.0025508194149135685
0.006118749999999999,9.492187500000023e-09,9.742785792574947e-05,0.0080375,8.686406249999997e-06,0.0029472709834692835
0.006175,1.6875000000000014e-08,0.00012990381056766584,0.0092,1.1967812499999998e-05,0.0034594526301136136
0.00626875,3.29296875e-08,0.0001814653892619747,0.0103625,1.4638906250000004e-05,0.0038260823632012947
0.006325,4.031250000000004e-08,0.00020077973005261273,0.011518749999999998,1.9223867187499996e-05,0.004384503071899939
0.0064375000000000005,6.328125000000002e-08,0.0002515576474687264,0.01275,2.2883437499999998e-05,0.004783663606484051
0.006475,7.843749999999991e-08,0.0002800669562801008,0.014156249999999999,2.8190742187500002e-05,0.005309495473912752
0.0065875,1.0546875000000005e-07,0.0003247595264191646,0.015668750000000002,3.55594921875e-05,0.005963178027486686
0.0067375,1.8015625000000015e-07,0.0004244481711587413,0.017175,4.203593750000001e-05,0.006483512743875808
0.00685,2.1875000000000008e-07,0.00046770717334674276,0.01890625,5.395511718750001e-05,0.00734541470493668
0.0070125000000000005,3.0765624999999983e-07,0.0005546676933083447,0.02066875,6.71863671875e-05,0.008196729054171547
0.0071375,3.5890625000000014e-07,0.000599087848316088,0.02230625,8.120761718750002e-05,0.00901152690655141
0.007362499999999999,4.845312500000007e-07,0.0006960827896162931,0.02436875,9.960230468749999e-05,0.009980095424769244
0.00749375,6.557421875000001e-07,0.000809779097964377,0.02646875,0.00012294605468749997,0.011088104197179064
0.00771875,7.941796875e-07,0.0008911675978737108,0.02866875,0.00014826292968749997,0.012176326608936703
0.0079125,8.7390625e-07,0.0009348295299144117,0.0309,0.00017775406249999993,0.013332443980756115
0.0082,1.1109375000000005e-06,0.00105401019919164,0.03333125,0.00021443261718750002,0.01464351792389725
0.0085375,1.4189062499999995e-06,0.001191178513070144,0.035825,0.0002539134375,0.0159346615119368
0.008812500000000001,1.7145312499999997e-06,0.0013094011035584168,0.038475,0.0003000590625,0.01732221297929338
0.0091375,2.095468749999999e-06,0.0014475734005569456,0.04105,0.00034584468750000006,0.018596899943270115
0.0096375,3.0726562500000006e-06,0.0017528993838780366,0.04369375,0.00040028855468750003,0.020007212566659556
0.01001875,3.3976171875000002e-06,0.0018432626474542363,0.04668125,0.00046461886718750006,0.02155501953577171
0.0104875,4.360781250000001e-06,0.0020882483688488785,0.04965625,0.0005289557421875,0.02299903785351683
0.01105625,5.7635546875e-06,0.002400740445675042,0.05250625,0.0005914144921875001,0.02431901503325125
