{'pImmuneKill': 1.0, 'pCancerMult': 0.1, 'pCancerSpawn': 0.01}
4 runs over 1000 iterations

AverageImmune, VarianceImmune, StdDefImmune, AverageBacteria, VarianceBacteria, StdDefBacteria
0.005962500000000001,1.562499999999981e-10,1.2499999999999924e-05,0.0,0.0,0.0
0.005956250000000001,1.171874999999986e-10,1.0825317547305419e-05,0.0,0.0,0.0
0.00595,3.1250000000000704e-10,1.767766952966389e-05,0.0,0.0,0.0
0.00595,3.1250000000000704e-10,1.767766952966389e-05,0.0,0.0,0.0
0.00595,3.1250000000000704e-10,1.767766952966389e-05,0.0,0.0,0.0
0.00595,3.1250000000000704e-10,1.767766952966389e-05,6.25e-06,1.1718750000000002e-10,1.0825317547305483e-05
0.00595,3.1250000000000704e-10,1.767766952966389e-05,6.25e-06,1.1718750000000002e-10,1.0825317547305483e-05
0.00595,3.1250000000000704e-10,1.767766952966389e-05,6.25e-06,1.1718750000000002e-10,1.0825317547305483e-05
0.00595,3.1250000000000704e-10,1.767766952966389e-05,6.25e-06,1.1718750000000002e-10,1.0825317547305483e-05
0.00594375,7.4218750000001e-10,2.724311839712939e-05,6.25e-06,1.1718750000000002e-10,1.0825317547305483e-05
0.00594375,7.4218750000001e-10,2.724311839712939e-05,6.25e-06,1.1718750000000002e-10,1.0825317547305483e-05
0.00594375,7.4218750000001e-10,2.724311839712939e-05,6.25e-06,1.1718750000000002e-10,1.0825317547305483e-05
0.00594375,7.4218750000001e-10,2.724311839712939e-05,6.25e-06,1.1718750000000002e-10,1.0825317547305483e-05
0.00593125,7.421875000000101e-10,2.7243118397129394e-05,6.25e-06,1.1718750000000002e-10,1.0825317547305483e-05
0.00593125,7.421875000000101e-10,2.7243118397129394e-05,6.25e-06,1.1718750000000002e-10,1.0825317547305483e-05
0.00593125,7.421875000000101e-10,2.7243118397129394e-05,6.25e-06,1.1718750000000002e-10,1.0825317547305483e-05
0.00593125,7.421875000000101e-10,2.7243118397129394e-05,6.25e-06,1.1718750000000002e-10,1.0825317547305483e-05
0.005925,9.375000000000103e-10,3.061862178478989e-05,6.25e-06,1.1718750000000002e-10,1.0825317547305483e-05
