{'pImmuneKill': 0.6, 'pCancerMult': 0.01, 'pCancerSpawn': 0.1}
4 runs over 1000 iterations

AverageImmune, VarianceImmune, StdDefImmune, AverageBacteria, VarianceBacteria, StdDefBacteria
0.005968750000000001,1.171874999999986e-10,1.0825317547305419e-05,0.0,0.0,0.0
0.005968750000000001,1.171874999999986e-10,1.0825317547305419e-05,0.0,0.0,0.0
0.005968750000000001,1.171874999999986e-10,1.0825317547305419e-05,0.0,0.0,0.0
0.005968750000000001,1.171874999999986e-10,1.0825317547305419e-05,0.0,0.0,0.0
0.005956250000000001,1.171874999999986e-10,1.0825317547305419e-05,6.25e-06,1.1718750000000002e-10,1.0825317547305483e-05
0.005956250000000001,1.171874999999986e-10,1.0825317547305419e-05,6.25e-06,1.1718750000000002e-10,1.0825317547305483e-05
0.005956250000000001,1.171874999999986e-10,1.0825317547305419e-05,6.25e-06,1.1718750000000002e-10,1.0825317547305483e-05
0.005956250000000001,1.171874999999986e-10,1.0825317547305419e-05,6.25e-06,1.1718750000000002e-10,1.0825317547305483e-05
0.00595,3.1250000000000704e-10,1.767766952966389e-05,1.25e-05,4.687500000000001e-10,2.1650635094610966e-05
0.00595,3.1250000000000704e-10,1.767766952966389e-05,1.25e-05,4.687500000000001e-10,2.1650635094610966e-05
0.00595,3.1250000000000704e-10,1.767766952966389e-05,1.25e-05,4.687500000000001e-10,2.1650635094610966e-05
0.00595,3.1250000000000704e-10,1.767766952966389e-05,1.25e-05,4.687500000000001e-10,2.1650635094610966e-05
0.00594375,4.296875000000111e-10,2.0728904939721518e-05,1.25e-05,4.687500000000001e-10,2.1650635094610966e-05
0.00594375,4.296875000000111e-10,2.0728904939721518e-05,1.25e-05,4.687500000000001e-10,2.1650635094610966e-05
0.00594375,4.296875000000111e-10,2.0728904939721518e-05,1.25e-05,4.687500000000001e-10,2.1650635094610966e-05
0.00594375,4.296875000000111e-10,2.0728904939721518e-05,1.25e-05,4.687500000000001e-10,2.1650635094610966e-05
0.00594375,4.296875000000111e-10,2.0728904939721518e-05,3.125e-05,7.421874999999998e-10,2.7243118397129208e-05
0.00594375,4.296875000000111e-10,2.0728904939721518e-05,3.125e-05,7.421874999999998e-10,2.7243118397129208e-05
0.00594375,4.296875000000111e-10,2.0728904939721518e-05,3.7500000000000003e-05,7.812499999999999e-10,2.795084971874737e-05
0.00594375,4.296875000000111e-10,2.0728904939721518e-05,3.7500000000000003e-05,7.812499999999999e-10,2.795084971874737e-05
0.00594375,4.296875000000111e-10,2.0728904939721518e-05,3.7500000000000003e-05,7.812499999999999e-10,2.795084971874737e-05
0.00594375,4.296875000000111e-10,2.0728904939721518e-05,3.7500000000000003e-05,7.812499999999999e-10,2.795084971874737e-05
0.00594375,4.296875000000111e-10,2.0728904939721518e-05,3.7500000000000003e-05,7.812499999999999e-10,2.795084971874737e-05
0.00594375,4.296875000000111e-10,2.0728904939721518e-05,3.7500000000000003e-05,7.812499999999999e-10,2.795084971874737e-05
0.00594375,4.296875000000111e-10,2.0728904939721518e-05,4.3750000000000006e-05,4.2968749999999987e-10,2.0728904939721247e-05
0.0059375,1.5625000000000895e-10,1.2500000000000358e-05,4.3750000000000006e-05,4.2968749999999987e-10,2.0728904939721247e-05
0.00594375,4.296875000000111e-10,2.0728904939721518e-05,4.3750000000000006e-05,1.3671875000000001e-09,3.69754986443726e-05
0.0059375,7.812500000000122e-10,2.795084971874759e-05,4.3750000000000006e-05,1.3671875000000001e-09,3.69754986443726e-05
0.0059375,7.812500000000122e-10,2.795084971874759e-05,4.3750000000000006e-05,1.3671875000000001e-09,3.69754986443726e-05
0.0059375,7.812500000000122e-10,2.795084971874759e-05,5e-05,1.25e-09,3.535533905932738e-05
0.0059375,7.812500000000122e-10,2.795084971874759e-05,5.6250000000000005e-05,7.421875e-10,2.724311839712921e-05
0.0059375,7.812500000000122e-10,2.795084971874759e-05,6.25e-05,7.812500000000001e-10,2.7950849718747372e-05
0.0059375,7.812500000000122e-10,2.795084971874759e-05,6.25e-05,7.812500000000001e-10,2.7950849718747372e-05
0.0059375,7.812500000000122e-10,2.795084971874759e-05,6.25e-05,7.812500000000001e-10,2.7950849718747372e-05
0.0059375,7.812500000000122e-10,2.795084971874759e-05,6.25e-05,7.812500000000001e-10,2.7950849718747372e-05
0.0059375,7.812500000000122e-10,2.795084971874759e-05,6.25e-05,7.812500000000001e-10,2.7950849718747372e-05
0.00593125,4.296875000000111e-10,2.0728904939721518e-05,6.875e-05,4.296874999999999e-10,2.0728904939721247e-05
0.00593125,4.296875000000111e-10,2.0728904939721518e-05,7.500000000000001e-05,6.250000000000001e-10,2.5e-05
0.00593125,4.296875000000111e-10,2.0728904939721518e-05,8.750000000000001e-05,1.7187499999999995e-09,4.1457809879442494e-05
0.00591875,7.421875000000046e-10,2.7243118397129293e-05,8.750000000000001e-05,1.7187499999999995e-09,4.1457809879442494e-05
0.00591875,7.421875000000046e-10,2.7243118397129293e-05,8.750000000000001e-05,1.7187499999999995e-09,4.1457809879442494e-05
0.00591875,7.421875000000046e-10,2.7243118397129293e-05,8.750000000000001e-05,1.7187499999999995e-09,4.1457809879442494e-05
0.00591875,7.421875000000046e-10,2.7243118397129293e-05,8.750000000000001e-05,1.7187499999999995e-09,4.1457809879442494e-05
0.00591875,7.421875000000046e-10,2.7243118397129293e-05,8.750000000000001e-05,1.7187499999999995e-09,4.1457809879442494e-05
0.00591875,7.421875000000046e-10,2.7243118397129293e-05,8.750000000000001e-05,1.7187499999999995e-09,4.1457809879442494e-05
0.00591875,7.421875000000046e-10,2.7243118397129293e-05,9.375e-05,1.3671874999999997e-09,3.6975498644372596e-05
0.00591875,7.421875000000046e-10,2.7243118397129293e-05,0.00010625000000000001,2.3046875000000003e-09,4.8007160924178805e-05
0.00591875,7.421875000000046e-10,2.7243118397129293e-05,0.00010625000000000001,2.3046875000000003e-09,4.8007160924178805e-05
0.00591875,7.421875000000046e-10,2.7243118397129293e-05,0.00010625000000000001,2.3046875000000003e-09,4.8007160924178805e-05
0.005912499999999999,7.812500000000069e-10,2.7950849718747494e-05,0.00010625000000000001,2.3046875000000003e-09,4.8007160924178805e-05
0.005912499999999999,7.812500000000069e-10,2.7950849718747494e-05,0.00010625000000000001,2.3046875000000003e-09,4.8007160924178805e-05
0.005912499999999999,7.812500000000069e-10,2.7950849718747494e-05,0.0001125,1.71875e-09,4.14578098794425e-05
0.005912499999999999,4.687499999999944e-10,2.1650635094610837e-05,0.00011874999999999999,1.9921875000000004e-09,4.4633927678392814e-05
0.00590625,1.0546874999999874e-09,3.2475952641916256e-05,0.000125,1.5625e-09,3.952847075210474e-05
0.00590625,1.0546874999999874e-09,3.2475952641916256e-05,0.00013125,1.9921875e-09,4.4633927678392814e-05
0.00590625,1.0546874999999874e-09,3.2475952641916256e-05,0.0001375,2.6562500000000002e-09,5.153882032022076e-05
0.00590625,1.0546874999999874e-09,3.2475952641916256e-05,0.00015000000000000001,2.8125000000000008e-09,5.303300858899107e-05
0.00590625,1.0546874999999874e-09,3.2475952641916256e-05,0.00015000000000000001,2.8125000000000008e-09,5.303300858899107e-05
0.00590625,1.0546874999999874e-09,3.2475952641916256e-05,0.00015625,3.5546875000000003e-09,5.962120008855911e-05
0.0059,9.374999999999887e-10,3.061862178478954e-05,0.00015625,3.5546875000000003e-09,5.962120008855911e-05
0.0059,9.374999999999887e-10,3.061862178478954e-05,0.0001625,4.531250000000001e-09,6.73145600891813e-05
0.0059,9.374999999999887e-10,3.061862178478954e-05,0.00016875,5.117187500000001e-09,7.153451963912249e-05
0.00590625,1.3671875000000024e-09,3.697549864437263e-05,0.000175,6.2500000000000005e-09,7.905694150420948e-05
0.0059,9.374999999999887e-10,3.061862178478954e-05,0.000175,6.2500000000000005e-09,7.905694150420948e-05
0.0059,9.374999999999887e-10,3.061862178478954e-05,0.00018125000000000001,6.992187500000002e-09,8.361930100162284e-05
0.0058875,7.812499999999906e-10,2.7950849718747203e-05,0.0001875,7.968750000000001e-09,8.926785535678563e-05
0.0058875,7.812499999999906e-10,2.7950849718747203e-05,0.00019375000000000002,6.6796875000000006e-09,8.172935519138763e-05
0.0058875,7.812499999999906e-10,2.7950849718747203e-05,0.00019375000000000002,6.6796875000000006e-09,8.172935519138763e-05
0.0058875,7.812499999999906e-10,2.7950849718747203e-05,0.00019375000000000002,6.6796875000000006e-09,8.172935519138763e-05
0.00589375,1.0546874999999872e-09,3.247595264191625e-05,0.00020625,6.992187499999999e-09,8.361930100162282e-05
0.00589375,1.0546874999999872e-09,3.247595264191625e-05,0.00021875,7.304687499999998e-09,8.546746456985839e-05
0.005900000000000001,1.5625000000000026e-09,3.9528470752104776e-05,0.00021250000000000002,5.15625e-09,7.180703308172536e-05
0.00590625,1.3671875000000024e-09,3.697549864437263e-05,0.00021250000000000002,6.406249999999999e-09,8.00390529679106e-05
0.0059,1.2500000000000066e-09,3.535533905932747e-05,0.000225,8.437499999999999e-09,9.185586535436917e-05
0.00589375,7.42187499999991e-10,2.7243118397129045e-05,0.000225,8.437499999999999e-09,9.185586535436917e-05
0.00589375,7.42187499999991e-10,2.7243118397129045e-05,0.00023125,9.804687499999999e-09,9.901862198596786e-05
0.00589375,7.42187499999991e-10,2.7243118397129045e-05,0.00024375000000000002,9.1796875e-09,9.581068572972433e-05
0.00589375,7.42187499999991e-10,2.7243118397129045e-05,0.00025,1.03125e-08,0.0001015504800579495
0.00589375,7.42187499999991e-10,2.7243118397129045e-05,0.00025,1.03125e-08,0.0001015504800579495
0.00589375,7.42187499999991e-10,2.7243118397129045e-05,0.00025624999999999997,1.16796875e-08,0.00010807260291119115
0.00589375,7.42187499999991e-10,2.7243118397129045e-05,0.00026875,1.1367187500000002e-08,0.00010661701318269989
0.00589375,7.42187499999991e-10,2.7243118397129045e-05,0.00026875,1.1367187500000002e-08,0.00010661701318269989
0.00589375,7.42187499999991e-10,2.7243118397129045e-05,0.000275,1.03125e-08,0.0001015504800579495
0.0059,1.2500000000000066e-09,3.535533905932747e-05,0.00027499999999999996,8.4375e-09,9.185586535436918e-05
0.0059,1.2500000000000066e-09,3.535533905932747e-05,0.00027499999999999996,8.4375e-09,9.185586535436918e-05
0.00590625,1.9921875000000057e-09,4.4633927678392875e-05,0.000275,7.187500000000001e-09,8.477912478906585e-05
0.00590625,1.9921875000000057e-09,4.4633927678392875e-05,0.00028125,7.9296875e-09,8.904879280484379e-05
0.005912499999999999,1.4062500000000101e-09,3.750000000000013e-05,0.00027499999999999996,9.6875e-09,9.842509842514764e-05
0.005912499999999999,1.4062500000000101e-09,3.750000000000013e-05,0.00027499999999999996,9.6875e-09,9.842509842514764e-05
0.00590625,7.4218750000001e-10,2.724311839712939e-05,0.00028125000000000003,1.07421875e-08,0.00010364452469860624
0.00590625,7.4218750000001e-10,2.724311839712939e-05,0.0002875,1.046875e-08,0.00010231690964840563
0.00590625,7.4218750000001e-10,2.724311839712939e-05,0.00029375000000000007,1.16796875e-08,0.00010807260291119115
0.00590625,7.4218750000001e-10,2.724311839712939e-05,0.00029375000000000007,1.16796875e-08,0.00010807260291119115
0.00590625,7.4218750000001e-10,2.724311839712939e-05,0.00031249999999999995,1.453125e-08,0.00012054563451241194
0.00590625,7.4218750000001e-10,2.724311839712939e-05,0.00031249999999999995,1.453125e-08,0.00012054563451241194
0.005912499999999999,1.4062500000000101e-09,3.750000000000013e-05,0.00030625,1.2929687499999999e-08,0.00011370878374162657
0.005912499999999999,1.4062500000000101e-09,3.750000000000013e-05,0.00031249999999999995,1.2968749999999998e-08,0.00011388041973930373
0.005912499999999999,1.4062500000000101e-09,3.750000000000013e-05,0.000325,1.53125e-08,0.00012374368670764582
0.00590625,1.9921875000000057e-09,4.4633927678392875e-05,0.0003375,1.6406249999999995e-08,0.00012808688457449497
0.00590625,1.9921875000000057e-09,4.4633927678392875e-05,0.0003375,1.6406249999999995e-08,0.00012808688457449497
0.00590625,1.9921875000000057e-09,4.4633927678392875e-05,0.0003375,1.6406249999999995e-08,0.00012808688457449497
0.00590625,1.9921875000000057e-09,4.4633927678392875e-05,0.00034375,1.66796875e-08,0.0001291498644985739
0.0059,1.2500000000000066e-09,3.535533905932747e-05,0.00034999999999999994,1.40625e-08,0.00011858541225631423
0.0059,1.2500000000000066e-09,3.535533905932747e-05,0.00034999999999999994,1.40625e-08,0.00011858541225631423
0.0059,1.2500000000000066e-09,3.535533905932747e-05,0.00035625,1.54296875e-08,0.0001242162932146987
0.0059,1.2500000000000066e-09,3.535533905932747e-05,0.00035625,1.54296875e-08,0.0001242162932146987
0.0059,1.2500000000000066e-09,3.535533905932747e-05,0.00036875,1.44921875e-08,0.00012038350177661389
0.00590625,1.3671875000000024e-09,3.697549864437263e-05,0.00036875,1.44921875e-08,0.00012038350177661389
0.0059,9.374999999999887e-10,3.061862178478954e-05,0.000375,1.4687499999999998e-08,0.00012119199643540822
0.0059,9.374999999999887e-10,3.061862178478954e-05,0.00038125,1.51171875e-08,0.00012295197233066251
0.0059,9.374999999999887e-10,3.061862178478954e-05,0.0003875,1.578125e-08,0.00012562344526401113
0.00589375,7.42187499999991e-10,2.7243118397129045e-05,0.0003875,1.578125e-08,0.00012562344526401113
0.00589375,7.42187499999991e-10,2.7243118397129045e-05,0.0003875,1.578125e-08,0.00012562344526401113
0.00589375,7.42187499999991e-10,2.7243118397129045e-05,0.00039375,1.6367187500000002e-08,0.000127934309315367
0.0058875,7.812499999999906e-10,2.7950849718747203e-05,0.00039375,1.6367187500000002e-08,0.000127934309315367
0.0058875,7.812499999999906e-10,2.7950849718747203e-05,0.00040625,1.9492187500000002e-08,0.00013961442439805422
0.0058875,7.812499999999906e-10,2.7950849718747203e-05,0.00040625,1.9492187500000002e-08,0.00013961442439805422
0.0058875,7.812499999999906e-10,2.7950849718747203e-05,0.00041249999999999994,2.140625e-08,0.0001463087488839953
0.0058937500000000006,1.367187500000008e-09,3.697549864437271e-05,0.00041249999999999994,2.3281249999999995e-08,0.00015258194519667128
0.0058937500000000006,1.367187500000008e-09,3.697549864437271e-05,0.00041249999999999994,2.3281249999999995e-08,0.00015258194519667128
0.0058937500000000006,1.367187500000008e-09,3.697549864437271e-05,0.00041875,2.57421875e-08,0.00016044372066241795
