{'pImmuneKill': 0.5, 'pbacteriaMult': 0.4, 'pbacteriaSpawn': 0.1}
1 runs over 800 iterations

AverageImmune, VarianceImmune, StdDefImmune, AverageBacteria, VarianceBacteria, StdDefBacteria
0.005975,0.0,0.0,0.0,0.0,0.0
0.005975,0.0,0.0,0.0,0.0,0.0
0.005975,0.0,0.0,0.0,0.0,0.0
0.005975,0.0,0.0,0.0,0.0,0.0
0.005975,0.0,0.0,0.0,0.0,0.0
0.005975,0.0,0.0,0.0,0.0,0.0
0.005975,0.0,0.0,0.0,0.0,0.0
0.005975,0.0,0.0,0.0,0.0,0.0
0.005975,0.0,0.0,0.0,0.0,0.0
0.005975,0.0,0.0,0.0,0.0,0.0
0.005975,0.0,0.0,0.0,0.0,0.0
0.005975,0.0,0.0,0.0,0.0,0.0
0.005975,0.0,0.0,2.5e-05,0.0,0.0
0.005975,0.0,0.0,2.5e-05,0.0,0.0
0.00595,0.0,0.0,2.5e-05,0.0,0.0
0.00595,0.0,0.0,2.5e-05,0.0,0.0
0.00595,0.0,0.0,2.5e-05,0.0,0.0
0.00595,0.0,0.0,2.5e-05,0.0,0.0
0.00595,0.0,0.0,5e-05,0.0,0.0
0.00595,0.0,0.0,7.5e-05,0.0,0.0
0.00595,0.0,0.0,0.0001,0.0,0.0
0.00595,0.0,0.0,0.000125,0.0,0.0
0.00595,0.0,0.0,0.000175,0.0,0.0
0.00595,0.0,0.0,0.0003,0.0,0.0
0.00595,0.0,0.0,0.0004,0.0,0.0
0.005925,0.0,0.0,0.00055,0.0,0.0
0.005925,0.0,0.0,0.000725,0.0,0.0
0.005925,0.0,0.0,0.00105,0.0,0.0
0.005925,0.0,0.0,0.001475,0.0,0.0
0.005925,0.0,0.0,0.0019,0.0,0.0
0.005925,0.0,0.0,0.002375,0.0,0.0
0.005925,0.0,0.0,0.0028,0.0,0.0
0.005925,0.0,0.0,0.003125,0.0,0.0
0.005925,0.0,0.0,0.0036,0.0,0.0
0.0059,0.0,0.0,0.0044,0.0,0.0
0.005925,0.0,0.0,0.004875,0.0,0.0
0.005925,0.0,0.0,0.00565,0.0,0.0
0.00595,0.0,0.0,0.0063,0.0,0.0
0.00595,0.0,0.0,0.00715,0.0,0.0
0.005975,0.0,0.0,0.007925,0.0,0.0
0.005975,0.0,0.0,0.0088,0.0,0.0
0.00605,0.0,0.0,0.009725,0.0,0.0
0.006075,0.0,0.0,0.0106,0.0,0.0
0.006075,0.0,0.0,0.011825,0.0,0.0
0.006075,0.0,0.0,0.01315,0.0,0.0
0.006125,0.0,0.0,0.01435,0.0,0.0
0.0062,0.0,0.0,0.01575,0.0,0.0
0.006275,0.0,0.0,0.017025,0.0,0.0
0.00635,0.0,0.0,0.018475,0.0,0.0
0.006375,0.0,0.0,0.02015,0.0,0.0
0.006475,0.0,0.0,0.022125,0.0,0.0
0.006525,0.0,0.0,0.023825,0.0,0.0
0.006575,0.0,0.0,0.025875,0.0,0.0
0.006575,0.0,0.0,0.027625,0.0,0.0
0.0066,0.0,0.0,0.029825,0.0,0.0
0.0067,0.0,0.0,0.0316,0.0,0.0
0.0067,0.0,0.0,0.0342,0.0,0.0
0.006775,0.0,0.0,0.036875,0.0,0.0
0.006825,0.0,0.0,0.039825,0.0,0.0
0.0069,0.0,0.0,0.0426,0.0,0.0
0.00695,0.0,0.0,0.045125,0.0,0.0
0.007,0.0,0.0,0.048425,0.0,0.0
0.007075,0.0,0.0,0.051525,0.0,0.0
